aggregation,neighbor_scope,metric,count,mean,std,min,q05,q25,median,q75,q95,max,quantiles_from_sample
all_samples,same_user,scope_fraction,39255783,0.6920782030126089,nan,nan,nan,nan,nan,nan,nan,nan,0
all_samples,other_user,scope_fraction,17465817,0.307921796987391,nan,nan,nan,nan,nan,nan,nan,nan,0
all_samples,same_user,age,39255783,787.7852224728265,577.7241920998861,168.0,168.0,336.0,600.0,1104.0,2016.0,2448.0,138386
all_samples,same_user,lookback_distance_raw,39255783,516.415329578876,3894.4195725863333,0.0,12.742294549942017,36.35600280761719,81.0267448425293,215.34714889526367,1122.519287109375,137631.3125,138386
all_samples,same_user,lookback_distance_instance_normalized,39255783,0.4483036183927064,0.22362144003270215,0.0,0.2115701474249363,0.2945205569267273,0.38196007907390594,0.5493033081293106,0.8887215703725815,1.8142772912979126,138386
all_samples,other_user,age,17465817,1147.1374454455809,678.940332440985,168.0,192.0,528.0,1056.0,1680.0,2328.0,2448.0,61614
all_samples,other_user,lookback_distance_raw,17465817,210.29696328621912,864.369544390737,1.0653265714645386,22.002554321289065,49.530999183654785,93.08280944824219,201.3008155822754,741.7357208251949,109686.03125,61614
all_samples,other_user,lookback_distance_instance_normalized,17465817,0.604141514574858,0.2524802895240388,0.1500217169523239,0.31342472434043883,0.40508202463388443,0.5430070757865906,0.7479118704795837,1.1086900591850282,1.6776745319366455,61614
per_user_average,same_user,scope_fraction,312,0.692078203012609,0.19292301598550302,0.07723322332233223,0.34583745874587457,0.5738847634763476,0.7096012101210121,0.8486922442244225,0.9654114411441144,0.9987073707370737,312
per_user_average,same_user,age,312,791.4438412855275,157.45917848105626,522.2315683019864,588.751478279484,691.557661459618,757.9816389030738,838.5465156668844,1135.7224041006623,1250.7584297693584,312
per_user_average,same_user,lookback_distance_raw,312,408.07663980387105,2829.639731704241,1.5355157389187655,15.588243220760925,39.35486116589137,81.4405908160733,199.15885132895332,967.6827788953515,48462.13039320887,312
per_user_average,same_user,lookback_distance_instance_normalized,312,0.46274273719869013,0.19606386181617472,0.1878399262883739,0.2719893950462486,0.32133838278060795,0.3906461510697995,0.5678995425020248,0.8315994612846062,1.2348378557277246,312
per_user_average,other_user,scope_fraction,312,0.3079217969873911,0.19292301598550302,0.0012926292629262814,0.03458855885588563,0.1513077557755775,0.2903987898789879,0.42611523652365235,0.6541625412541254,0.9227667766776677,312
per_user_average,other_user,age,312,1140.1362148035457,242.17870560766434,205.74246575342465,738.033737242756,1012.7738316245408,1176.344308736645,1274.7731505276383,1439.0661920679015,1943.786642352405,312
per_user_average,other_user,lookback_distance_raw,312,734.5202386257646,5238.766516331482,6.906817300389247,20.47610754212618,49.76588900312909,104.81097123814892,251.19707763999128,1377.6998068958462,81344.25869099186,312
per_user_average,other_user,lookback_distance_instance_normalized,312,0.5823613683337172,0.2345670457617133,0.25696593287907277,0.3516338529604324,0.41080264912051345,0.4866693066439053,0.7155386641058923,1.0745620415165702,1.39901218756193,312
