query_user,query_user_name,neighbors,same_user_neighbors,other_user_neighbors,same_user_fraction,same_user_mean_age,other_user_mean_age,same_user_mean_raw_distance,other_user_mean_raw_distance,same_user_mean_instance_distance,other_user_mean_instance_distance
0,0,181800,66870,114930,0.3678217821782178,1074.9598923283984,1267.6855129209084,8.594950322326174,16.492732271957905,1.1418442056106668,1.2965107368795905
1,1,181800,133812,47988,0.736039603960396,815.5478432427585,1347.68192048012,15.991431080400222,22.519282516622738,0.7170326249922906,1.0520652568547977
2,2,181800,159990,21810,0.8800330033003301,1047.1396962310143,896.2806052269601,1.5355157389187655,24.56357909518062,1.0033614254383767,1.39901218756193
3,3,181800,113210,68590,0.6227172717271727,662.770779966434,929.2580259513048,65.90418485363995,78.1888854943206,0.5241964884063516,0.5790503356339094
4,4,181800,58033,123767,0.3192134213421342,691.0935502214257,896.7567122092319,36.1153962017636,39.2952254378868,0.6917081805125772,0.7931843207364103
5,5,181800,145739,36061,0.8016446644664467,743.1255600765752,649.2292504367599,111.03575392107523,142.20168536703954,0.5278021023742309,0.6220937309146857
6,7,181800,155830,25970,0.8571507150715072,724.7367002502727,1095.3555641124374,127.73741244047007,142.6295302128489,0.5776355731663606,0.7282136200802759
7,8,181800,36500,145300,0.20077007700770078,775.8174246575343,1046.0123331039229,55.21448519542119,59.527818317072025,0.7618392082991665,0.9179067550645724
8,9,181800,14041,167759,0.07723322332233223,735.5031692899366,1091.1834715276082,74.08170701893516,74.51950135085858,0.8292918525592153,0.9310669043049635
9,10,181800,61656,120144,0.33914191419141915,617.8551965745427,843.8955253695565,23.86203490806118,26.246970373727873,0.6266148136867049,0.6701219416834798
10,11,181800,107759,74041,0.5927337733773377,1242.1251125196038,1265.3949028241109,68.9662125918748,90.17565028235089,0.42118074701512254,0.5649317035334074
11,12,181800,72881,108919,0.40088558855885587,823.2917770063528,1251.5085889514226,33.23420858296243,43.8398244114227,0.5709746777434492,0.7352325875373278
12,13,181800,91632,90168,0.504026402640264,651.8847564169722,952.4338568006389,20.24630431181185,27.008950153986614,0.5139776469821864,0.6592062445227382
13,14,181800,155092,26708,0.8530913091309131,659.5671730327805,655.8349558184814,24.382408051906555,29.461434674330846,0.5002799970902025,0.5651687683438013
14,15,181800,70770,111030,0.38927392739273925,751.2427299703264,978.0496082139962,172.99473931718313,212.94732276636836,0.542896221403569,0.7372988090647842
