model,mse,nmse,mae,nmae,relative_nmse_improvement_pct,relative_mse_improvement_pct,win_rate_pct,configurations
Online full ridge (chronos2),605708.366959484,1.0268398803931214,29.457957332414868,0.632093432518785,-20.049230732389166,-20.488420365363904,40.313040718784436,8
TS-RAG (chronos_bolt),509408.8323674994,1.003396818593779,26.476015174089852,0.6135115242282645,-16.439087191162553,-16.063470424815858,40.75111747629328,8
Vanilla (chronos2),512490.6233942654,0.8599192799513404,26.34010642845165,0.5554865269516018,0.0,0.0,0.0,8
Vanilla (chronos_bolt),507066.0818002198,0.8452688361757925,26.067130685814565,0.5533332219414957,0.0,0.0,0.0,8
