dataset,setting,model,mse,nmse,mae,nmae,relative_nmse_improvement_pct,relative_mse_improvement_pct,win_rate_pct,dates
Electricity,168:24,Vanilla (chronos2),2618374.519871081,0.2939234268170746,172.9564117782605,0.2521887881182598,0.0,0.0,0.0,42
Electricity,168:24,"fixed_datastore=False, fixed_training_set=False, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-false",3992061.489109562,0.33269078360595433,199.6978536411672,0.2827241947552775,-13.189611097883008,-52.46334959877168,37.67551892551893,42
Electricity,168:24,"fixed_datastore=False, fixed_training_set=False, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-false",3828695.698180536,0.31177800097022307,191.3332626689643,0.26581576537464163,-6.07456658761297,-46.22414317300904,40.72039072039071,42
Electricity,168:24,"fixed_datastore=False, fixed_training_set=True, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-false",2693014.0332349665,0.30565929753516513,175.35623733578834,0.2651787511765798,-3.99283272283419,-2.850604862183436,40.91117216117217,42
Electricity,168:24,"fixed_datastore=False, fixed_training_set=True, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-false",2711710.382736986,0.302901814000812,182.46049237443347,0.2684479324234341,-3.0546688055695332,-3.5646489894201543,38.84310134310135,42
Electricity,168:24,"fixed_datastore=True, fixed_training_set=False, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-true",3067335.477429669,0.3206295421339941,190.96804263252903,0.27718023305091793,-9.086079156081414,-17.146552357357063,37.5534188034188,42
Electricity,168:24,"fixed_datastore=True, fixed_training_set=False, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-true",3281485.6946709296,0.30742123193293225,191.08079018874616,0.26915325710390764,-4.592286218221162,-25.325298966911106,37.91208791208791,42
Electricity,168:24,"fixed_datastore=True, fixed_training_set=True, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-true",3201574.247096188,0.3350946531993393,194.0589832512244,0.28949707524335355,-14.00746678415936,-22.27335023309886,30.608974358974354,42
Electricity,168:24,"fixed_datastore=True, fixed_training_set=True, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-true",3387269.073155566,0.30974743797931154,198.3665969543012,0.2733481291480965,-5.38371892761209,-29.36533897077269,35.721916971916976,42
Solar,168:24,Vanilla (chronos2),540.4656509655856,0.20989942100059575,10.25300472631884,0.21558993951823052,0.0,0.0,0.0,14
Solar,168:24,"fixed_datastore=False, fixed_training_set=False, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-false",531.4184302637487,0.21539824170073044,10.436933987770331,0.22255617505314734,-2.6197407662782837,1.6739677508965227,51.0948905109489,14
Solar,168:24,"fixed_datastore=False, fixed_training_set=False, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-false",695.5173007738844,0.2835782980769526,12.11191031216329,0.2584940480941369,-35.1019915753592,-28.68852988738256,40.40667361835245,14
Solar,168:24,"fixed_datastore=False, fixed_training_set=True, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-false",553.6737582676361,0.2284788886833296,11.238612403002483,0.23943328070180445,-8.851605572842445,-2.4438390246115445,41.39728884254431,14
Solar,168:24,"fixed_datastore=False, fixed_training_set=True, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-false",631.4932589924593,0.2647755698568534,12.055223095734371,0.256700889207095,-26.14402171453519,-16.84244160634316,39.10323253388947,14
Solar,168:24,"fixed_datastore=True, fixed_training_set=False, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-true",569.9229593597815,0.24124622333379844,10.986556206741492,0.23627380650487845,-14.934202242690072,-5.450357755371598,43.952033368091776,14
Solar,168:24,"fixed_datastore=True, fixed_training_set=False, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-true",793.5312536962073,0.37637034081819287,13.019361807621758,0.28435662417204705,-79.30985311175222,-46.82362452344926,38.84254431699688,14
Solar,168:24,"fixed_datastore=True, fixed_training_set=True, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-true",575.5545958698423,0.242620999302781,11.68038244198137,0.24969779660217775,-15.58917115515951,-6.492354795737675,40.56308654848801,14
Solar,168:24,"fixed_datastore=True, fixed_training_set=True, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-true",652.7090430047231,0.28793158449022654,12.189973851441673,0.26193906809937195,-37.17597939279274,-20.767905399133056,38.894681960375394,14
