model,mse,nmse,mae,nmae,relative_nmse_improvement_pct,relative_mse_improvement_pct,win_rate_pct,configurations
Vanilla (chronos2),1309457.4927610233,0.2519114239088352,91.60470825228967,0.23388936381824516,0.0,0.0,0.0,2
"fixed_datastore=False, fixed_training_set=False, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-false",1996296.4537699127,0.2740445126533424,105.06739381446877,0.2526401849042124,-7.904675932080646,-25.394690923937578,44.385204718233915,2
"fixed_datastore=False, fixed_training_set=False, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-false",1914695.6077406548,0.29767814952358784,101.7225864905638,0.26215490673438924,-20.588279081486085,-37.4563365301958,40.563532169371584,2
"fixed_datastore=False, fixed_training_set=True, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-false",1346783.853496617,0.26706909310924737,93.29742486939541,0.2523060159391921,-6.422219147838318,-2.64722194339749,41.15423050185824,2
"fixed_datastore=False, fixed_training_set=True, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-false",1356170.9379979894,0.2838386919288327,97.25785773508392,0.26257441081526456,-14.599345260052361,-10.203545297881657,38.97316693849541,2
"fixed_datastore=True, fixed_training_set=False, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-true",1533952.7001945144,0.28093788273389625,100.97729941963526,0.2567270197778982,-12.010140699385744,-11.29845505636433,40.752726085755285,2
"fixed_datastore=True, fixed_training_set=False, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-true",1641139.612962313,0.34189578637556256,102.05007599818396,0.27675494063797734,-41.95106966498669,-36.07446174518019,38.377316114542396,2
"fixed_datastore=True, fixed_training_set=True, fitting_scope=all__dependency.online_extraction.identity.model_config.fixed_datastore-true",1601074.900846029,0.28885782625106016,102.86968284660288,0.26959743592276564,-14.798318969659435,-14.382852514418268,35.58603045373118,2
"fixed_datastore=True, fixed_training_set=True, fitting_scope=same_user__dependency.online_extraction.identity.model_config.fixed_datastore-true",1693960.8910992853,0.29883951123476904,105.27828540287143,0.2676435986237342,-21.279849160202417,-25.066622184952873,37.30829946614618,2
